id,popularity,original_title,director,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,cast1,cast2,cast3,cast4,cast5,production_companies1,production_companies2,production_companies3,production_companies4,production_companies5,genres1,genres2,genres3,genres4,genres5
135397,32.985763,Jurassic World,Colin Trevorrow,124,6/9/15,5562,6.5,2015,137999939.280026,1392445892.5238,Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Vincent D'Onofrio,Nick Robinson,Universal Studios,Amblin Entertainment,Legendary Pictures,Fuji Television Network,Dentsu,Action,Adventure,Science Fiction,Thriller,
76341,28.419936,Mad Max: Fury Road,George Miller,120,5/13/15,6185,7.1,2015,137999939.280026,348161292.489031,Tom Hardy,Charlize Theron,Hugh Keays-Byrne,Nicholas Hoult,Josh Helman,Village Roadshow Pictures,Kennedy Miller Productions,,,,Action,Adventure,Science Fiction,Thriller,
262500,13.112507,Insurgent,Robert Schwentke,119,3/18/15,2480,6.3,2015,101199955.472019,271619025.407628,Shailene Woodley,Theo James,Kate Winslet,Ansel Elgort,Miles Teller,Summit Entertainment,Mandeville Films,Red Wagon Entertainment,NeoReel,,Adventure,Science Fiction,Thriller,,
140607,11.173104,Star Wars: The Force Awakens,J.J. Abrams,136,12/15/15,5292,7.5,2015,183999919.040035,1902723129.80182,Harrison Ford,Mark Hamill,Carrie Fisher,Adam Driver,Daisy Ridley,Lucasfilm,Truenorth Productions,Bad Robot,,,Action,Adventure,Science Fiction,Fantasy,
168259,9.335014,Furious 7,James Wan,137,4/1/15,2947,7.3,2015,174799923.088033,1385748801.47052,Vin Diesel,Paul Walker,Jason Statham,Michelle Rodriguez,Dwayne Johnson,Universal Pictures,Original Film,Media Rights Capital,Dentsu,One Race Films,Action,Crime,Thriller,,
281957,9.1107,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,12/25/15,3929,7.2,2015,124199945.352024,490314247.021731,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,Paul Anderson,Regency Enterprises,Appian Way,CatchPlay,Anonymous Content,New Regency Pictures,Western,Drama,Adventure,Thriller,
87101,8.654359,Terminator Genisys,Alan Taylor,125,6/23/15,2598,5.8,2015,142599937.256027,405355075.683766,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney,J.K. Simmons,Paramount Pictures,Skydance Productions,,,,Science Fiction,Action,Thriller,Adventure,
286217,7.6674,The Martian,Ridley Scott,141,9/30/15,4572,7.6,2015,99359956.2816192,547749654.310152,Matt Damon,Jessica Chastain,Kristen Wiig,Jeff Daniels,Michael PeÃ±a,Twentieth Century Fox Film Corporation,Scott Free Productions,Mid Atlantic Films,International Traders,TSG Entertainment,Drama,Adventure,Science Fiction,,
211672,7.40416499999999,Minions,Kyle Balda|Pierre Coffin,91,6/17/15,2893,6.5,2015,68079970.0448131,1064192016.79551,Sandra Bullock,Jon Hamm,Michael Keaton,Allison Janney,Steve Coogan,Universal Pictures,Illumination Entertainment,,,,Family,Animation,Adventure,Comedy,
150540,6.326804,Inside Out,Pete Docter,94,6/9/15,3935,8.0,2015,160999929.160031,785411574.698907,Amy Poehler,Phyllis Smith,Richard Kind,Bill Hader,Lewis Black,Walt Disney Pictures,Pixar Animation Studios,Walt Disney Studios Motion Pictures,,,Comedy,Animation,Family,,
206647,6.200282,Spectre,Sam Mendes,148,10/26/15,3254,6.2,2015,225399900.824043,810220283.783075,Daniel Craig,Christoph Waltz,LÃ©a Seydoux,Ralph Fiennes,Monica Bellucci,Columbia Pictures,Danjaq,B24,,,Action,Adventure,Crime,,
76757,6.189369,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,2/4/15,1937,5.2,2015,161919931.51523,169268630.681802,Mila Kunis,Channing Tatum,Sean Bean,Eddie Redmayne,Douglas Booth,Village Roadshow Pictures,Dune Entertainment,Anarchos Productions,Warner Bros.,,Science Fiction,Fantasy,Action,Adventure,
264660,6.118847,Ex Machina,Alex Garland,108,1/21/15,2854,7.6,2015,13799993.9280026,33919845.9552677,Domhnall Gleeson,Alicia Vikander,Oscar Isaac,Sonoya Mizuno,Corey Johnson,DNA Films,Universal Pictures International (UPI),Film4,,,Drama,Science Fiction,,,
257344,5.984995,Pixels,Chris Columbus,105,7/16/15,1575,5.8,2015,80959964.3776156,224146025.095748,Adam Sandler,Michelle Monaghan,Peter Dinklage,Josh Gad,Kevin James,Columbia Pictures,Happy Madison Productions,,,,Action,Comedy,Science Fiction,,
99861,5.944927,Avengers: Age of Ultron,Joss Whedon,141,4/22/15,4304,7.4,2015,257599886.656049,1292632336.88177,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson,Marvel Studios,Prime Focus,Revolution Sun Studios,,,Action,Adventure,Science Fiction,,
273248,5.8984,The Hateful Eight,Quentin Tarantino,167,12/25/15,2389,7.4,2015,40479982.1888078,143299244.588332,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,DemiÃ¡n Bichir,Double Feature Films,The Weinstein Company,FilmColony,,,Crime,Drama,Mystery,Western,
260346,5.749758,Taken 3,Olivier Megaton,109,1/1/15,1578,6.1,2015,44159980.5696085,299709578.207785,Liam Neeson,Forest Whitaker,Maggie Grace,Famke Janssen,Dougray Scott,Twentieth Century Fox Film Corporation,M6 Films,Canal+,EuropaCorp,CinÃ©+,Crime,Action,Thriller,,
102899,5.573184,Ant-Man,Peyton Reed,115,7/14/15,3779,7.0,2015,119599947.376023,477113780.029936,Paul Rudd,Michael Douglas,Evangeline Lilly,Corey Stoll,Bobby Cannavale,Marvel Studios,,,,,Science Fiction,Action,Adventure,,
150689,5.556818,Cinderella,Kenneth Branagh,112,3/12/15,1495,6.8,2015,87399961.5440169,498963025.216268,Lily James,Cate Blanchett,Richard Madden,Helena Bonham Carter,Holliday Grainger,Walt Disney Pictures,Genre Films,Beagle Pug Films,Allison Shearmur Productions,,Romance,Fantasy,Family,Drama,
